date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
26-07-17,5977839.442,3193,139150000,25.82,519526,7205.21937,12.26618021
27-07-17,27797863.69,2964,140044000,25.17,444541,6168.952169,12.52937564
28-07-17,11529262.88,3467,136730000,23.2,1466680,7657.674064,15.51258874
29-07-17,5288141.702,3109,125663000,30.02,2558920,6207.873003,14.80836318
30-07-17,10133327.07,3762,164663000,26.3,1908450,7477.665208,15.21151535
31-07-17,5950673.396,3365,142923000,28.73,1306050,7146.83812,17.81996451
01-08-17,9655717.203,3350,157743000,29.35,1189560,6811.145928,22.22444438
02-08-17,4817450.046,3335,159476000,29.29,692111,6854.931866,21.68577026
03-08-17,4270845.851,3162,159211000,28.58,626260,7122.512599,9.19326063
04-08-17,4390033.464,3047,156776000,28.32,545456,6835.471449,8.28382272
05-08-17,5579871.948,3522,154871000,30.49,959859,7604.157918,21.22132327
06-08-17,7474446.121,2921,166393000,30.58,659951,6086.245397,27.3785964
07-08-17,7984312.196,3498,167328000,30.51,958877,7161.433432,20.06570926
08-08-17,11260966.48,4012,168415000,31.68,978874,6927.908429,16.8828343
09-08-17,6447093.977,3648,174444000,29.47,1420520,7764.706357,17.35579759
10-08-17,5740822.276,3029,162243000,28.2,862145,6631.137071,14.9768894
11-08-17,4674541.753,3207,155440000,26.74,1910380,6854.931866,10.75860419
12-08-17,5137956.685,3394,147601000,26.59,1688200,6777.090198,15.74402388
13-08-17,5363030.502,3126,145710000,25.59,1232020,6806.280823,14.47513038
14-08-17,5185427.486,3530,140380000,23.32,1706170,7184.55472,18.14270655
15-08-17,8386338.597,3582,129238000,30.02,1976850,6921.935428,19.98468142
16-08-17,5536109.614,3400,166699000,26.27,1203980,7085.711215,13.56427169
17-08-17,3412108.295,2837,145531000,24.47,975883,5934.463777,12.24385493
18-08-17,8444696.454,3171,135614000,23.88,794764,7071.26041,13.65345323
19-08-17,10183939.09,3238,132181000,27.92,1297340,7244.670066,14.41094336
20-08-17,5123901.363,3125,151313000,26.28,976831,7167.599107,12.4791205
21-08-17,4726145.863,3147,146632000,27.41,934142,6382.438721,15.96799369
22-08-17,4473057.183,2915,153117000,25.96,1131900,6396.889526,13.8984149
23-08-17,5921659.583,3376,145282000,26.32,876055,7649.292596,13.01625065
24-08-17,5842400.17,3246,147963000,31.16,2852650,7225.402326,13.36583299
25-08-17,5946873.567,3085,174411000,34.53,1982100,6425.791135,11.98802235
26-08-17,7810184.984,3338,194536000,38.53,4209060,6300.550828,13.89672696
27-08-17,18857529.64,3727,215803000,41.21,3136050,7321.741024,13.37869658
28-08-17,7778103.315,3454,229128000,39.82,2252980,6994.189452,13.57786124
29-08-17,8670357.957,3495,223165000,35.39,2636660,7634.841791,14.68313894
30-08-17,14082689.71,2871,199655000,38.4,1773310,6247.564545,12.67479998
31-08-17,141944176.3,2234,216516000,38.09,1380050,6772.610447,10.18901421
01-09-17,138529526.8,2654,215536000,41.35,1876320,7548.136963,9.86193276
02-09-17,6608749.207,2055,232566000,36.33,1128560,6632.919335,9.39762039
03-09-17,8100210.767,1975,205793000,36.64,646132,7268.75474,8.01419299
04-09-17,6646485.692,2087,206928000,32.27,1541850,6854.49834,14.00734205
05-09-17,7554932.457,2492,183293000,34.08,1176300,8471.557689,11.08907577
06-09-17,5356886.101,1909,192361000,34.74,918098,5780.321862,8.22003889
07-09-17,6581401.884,2138,196639000,33.93,726765,7673.711118,9.40302222
08-09-17,11398626.34,1828,193444000,31.53,1296220,6347.861714,8.58235739
09-09-17,6913791.751,1835,180165000,30.4,788176,6390.784896,10.45590623
10-09-17,4979207.232,1836,175700000,28.69,906475,6982.170961,8.45687749
11-09-17,5443983.11,1973,164109000,29.01,998634,6858.170657,10.59868958
12-09-17,5343170.547,2045,165834000,27.73,847669,7311.248691,9.3646039
13-09-17,5899408.897,1908,157889000,26.73,1649640,6529.092928,9.12166792
14-09-17,4870701,1987,150699000,23.83,1921540,6614.939292,9.28900941
15-09-17,5860582.735,2347,138667000,29.7,2353720,7587.864754,10.24446832
16-09-17,5141869.661,1912,170410000,30.89,1029260,6438.477321,8.19763347
17-09-17,4834610.324,1639,178125000,29.79,706172,6581.554595,10.28237651
18-09-17,10299940.95,2046,170259000,30.94,1157730,6467.092776,10.60153804
19-09-17,6474643.489,2051,179257000,32.4,1782770,7025.094144,10.30187107
20-09-17,9016191.034,2847,187570000,36.07,5887380,7440.018238,12.95080057
21-09-17,6049542.195,2173,208604000,31.98,3104750,6648.323989,9.35057651
22-09-17,5258232.59,1863,185250000,31.13,1478070,6076.014894,8.33350782
23-09-17,6116898.301,1899,178795000,37.54,1658140,6896.324597,9.75240564
24-09-17,5436832.147,1963,216445000,33.72,1230700,7769.095967,8.63128709
25-09-17,5122299.637,1806,196539000,34.96,1251560,6486.169746,9.32613373
26-09-17,5043991.797,1854,203777000,33.46,955503,6873.375569,9.94346963
27-09-17,5231614.839,1790,196921000,36.1,1591530,6233.069354,9.96042404
28-09-17,5713990.729,1879,211480000,34.66,1082720,7002.758979,10.65074842
29-09-17,4882569.582,1872,202656000,34.14,636638,7323.856491,6.09923064
